node_id,node_type,name,country,owner,status,capacity_mt_day,demand_mt_day,latitude,longitude
ma_anshan_china,import_port,Ma'anshan,China,West to East Gas Transmission Branch of National Petroleum Pipeline Network Group Co Ltd [100.00%],construction,1644.02,0.0,,
poyang_china,import_port,Poyang,China,National Petroleum and Natural Gas Pipeline Network Group Co Ltd [100.00%],proposed,9447.61,0.0,,
xiantao_china,international_source,Xiantao,China,National Petroleum and Natural Gas Pipeline Network Group Co Ltd [100.00%],construction,59184.59,0.0,,
wenzhou_china,import_port,Wenzhou,China,National Petroleum and Natural Gas Pipeline Network Group Co Ltd [100.00%],construction,59184.59,0.0,,
fuding_china,import_port,Fuding,China,National Petroleum and Natural Gas Pipeline Network Group Co Ltd [100.00%],construction,21920.22,0.0,27.354935,120.206337
zaoyang_china,international_source,Zaoyang,China,National Petroleum and Natural Gas Pipeline Network Group Co Ltd [100.00%],construction,20889.97,0.0,,
dazhiping_town_badong_china,international_source,"Dazhiping Town, Badong",China,National Pipe Network Group Southwest Pipeline Co Ltd [100.00%],proposed,43.84,0.0,30.671685,110.14487
badong_county_china,import_port,Badong County,China,National Pipe Network Group Southwest Pipeline Co Ltd [100.00%],proposed,43.84,0.0,31.007216,110.41082
chengdu_china,international_source,Chengdu,China,--,operating,26304.26,0.0,31.531108,107.729531
zhongtu_town_cangxi_china,international_source,"Zhongtu Town, Cangxi",China,--,operating,5480.05,0.0,,
jingyang_district_china,import_port,Jingyang District,China,--,operating,5480.05,0.0,,
yuanba_town_china,international_source,Yuanba Town,China,--,operating,2192.02,0.0,,
langzhong_china,import_port,Langzhong,China,--,operating,2192.02,0.0,,
zhongjiang_county_china,international_source,Zhongjiang County,China,--,operating,160.02,0.0,,
longquanyi_district_china,import_port,Longquanyi District,China,--,operating,160.02,0.0,,
cangxi_county_china,import_port,Cangxi County,China,--,operating,6576.07,0.0,,
luojiang_district_china,import_port,Luojiang District,China,--,operating,22.4,0.0,,
xinchang_town_china,international_source,Xinchang Town,China,--,operating,2400.26,0.0,,
xinfan_china,import_port,Xinfan,China,--,operating,2400.26,0.0,,
xindian_town_china,international_source,Xindian Town,China,Sichuan Natural Gas Pipeline Investment Co Ltd [100.00%],cancelled,8768.09,0.0,,
shuangliu_district_china,import_port,Shuangliu District,China,Sichuan Natural Gas Pipeline Investment Co Ltd [100.00%],cancelled,8768.09,0.0,,
xiaxi_village_aotou_town_conghua_district_china,international_source,"Xiaxi Village, Aotou Town, Conghua District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,35072.35,0.0,,
yangyi_village_huadong_town_huadong_district_china,import_port,"Yangyi Village, Huadong Town, Huadong District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,35072.35,0.0,,
digital_industrial_park_south_district_china,import_port,Digital Industrial Park South District,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,0.0,0.0,,
jindu_town_gaoyao_district_china,import_port,"Jindu Town, Gaoyao District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,0.0,0.0,,
guangdong_china,international_source,Guangdong,China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,0.0,0.0,24.938649,114.1421
sanjiao_town_china,international_source,Sanjiao Town,China,China Shipping Guangdong Natural Gas Co Ltd [100.00%],operating,1030.25,0.0,,
liudong_nansha_district_china,import_port,"Liudong, Nansha District",China,China Shipping Guangdong Natural Gas Co Ltd [100.00%],operating,1030.25,0.0,,
likeng_gaoming_district_china,international_source,"Likeng, Gaoming District",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,107.41,0.0,,
liwan_first_station_gaolangang_economic_development_zone_china,international_source,"Liwan First Station, Gaolangang Economic Development Zone",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,26304.26,0.0,,
gaolangang_distribution_station_gaolangang_economic_development_zone_china,import_port,"Gaolangang Distribution Station, Gaolangang Economic Development Zone",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,26304.26,0.0,,
pingpaishan_first_station_gaolangang_economic_development_zone_china,international_source,"Pingpaishan First Station, Gaolangang Economic Development Zone",China,Guangdong Natural Gas Grid Co Ltd [100.00%],operating,19728.2,0.0,,
